Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,study_efficiency,effective_study_hours,attendance_study_interaction,previous_study_interaction,motivation_study_interaction,study_sleep_ratio,tutoring_study_ratio,parental_support_score,school_quality_score,Hours_Studied_squared,Attendance_squared,Previous_Scores_squared,Sleep_Hours_squared,study_hours_category,sleep_category
23,84,1,0,0,7,73,1,1,0,1,2,1,2,3,0,1,2,0,67,3.2857142857142856,23,19.32,16.79,0.0,2.875,0.0,2,4,529,7056,5329,49,2.0,2.0
19,64,1,2,0,8,59,1,1,2,2,2,1,0,4,0,0,1,1,61,2.375,23,12.16,11.21,0.0,2.111111111111111,0.1,1,4,361,4096,3481,64,2.0,3.0
24,98,2,2,1,7,91,2,1,2,2,2,1,1,4,0,2,2,0,74,3.4285714285714284,28,23.52,21.84,0.0,3.0,0.08,6,4,576,9604,8281,49,2.0,2.0
29,89,1,2,1,8,98,2,1,1,2,2,1,0,4,0,1,1,0,71,3.625,31,25.81,28.42,0.0,3.2222222222222223,0.03333333333333333,2,4,841,7921,9604,64,3.0,3.0
19,92,2,2,1,6,65,2,1,3,2,0,1,1,4,0,0,2,1,70,3.1666666666666665,25,17.48,12.35,0.0,2.7142857142857144,0.15,2,0,361,8464,4225,36,2.0,1.0
19,88,2,2,1,8,89,2,1,3,2,2,1,2,3,0,2,2,0,71,2.375,25,16.72,16.91,0.0,2.111111111111111,0.15,6,4,361,7744,7921,64,2.0,3.0
29,84,2,1,1,7,68,1,1,1,1,2,0,1,2,0,1,1,0,67,4.142857142857143,31,24.36,19.72,0.0,3.625,0.03333333333333333,4,2,841,7056,4624,49,3.0,2.0
25,78,1,0,1,6,50,2,1,1,0,0,1,0,2,0,1,0,0,66,4.166666666666667,27,19.5,12.5,0.0,3.5714285714285716,0.038461538461538464,2,0,625,6084,2500,36,2.0,1.0
17,94,2,0,0,6,80,0,1,0,2,1,0,1,1,0,0,2,0,69,2.8333333333333335,17,15.98,13.6,0.0,2.4285714285714284,0.0,2,1,289,8836,6400,36,1.0,1.0
23,98,2,2,1,8,71,2,1,0,0,0,1,2,5,0,1,1,0,72,2.875,23,22.54,16.33,0.0,2.5555555555555554,0.0,4,0,529,9604,5041,64,2.0,3.0
17,80,1,0,0,8,88,2,0,4,2,0,0,1,4,0,0,1,0,68,2.125,25,13.6,14.96,0.0,1.8888888888888888,0.2222222222222222,1,0,289,6400,7744,64,1.0,3.0
